10
????-Guinea	0	2.97	3.35	34.45	34.81	34.72	38.05	38.09	38.76	39.09
Ebola-DRC	2.97	0	1.44	34.65	35.03	34.97	37.99	38.07	38.93	39.24
Ebola-Gabon	3.35	1.44	0	34.77	35.01	34.94	38.14	38.26	38.92	39.2
Tai Forest-Ivory Coast	34.45	34.65	34.77	0	31.3	31.42	37.54	37.79	38.2	38.31
Bundibugyo-Uganda	34.81	35.03	35.01	31.3	0	1.33	37.85	37.93	38.53	38.51
Bundibugyo-DRC	34.72	34.97	34.94	31.42	1.33	0	37.8	37.84	38.57	38.49
Reston Virus1-Philippines	38.05	37.99	38.14	37.54	37.85	37.8	0	2.31	37.65	37.95
Reston Virus2-Philippines	38.09	38.07	38.26	37.79	37.93	37.84	2.31	0	37.77	38.01
Sudan Virus-Uganda	38.76	38.93	38.92	38.2	38.53	38.57	37.65	37.77	0	5.05
Sudan Virus-Sudan	39.09	39.24	39.2	38.31	38.51	38.49	37.95	38.01	5.05	0
